unit,cycle,s2,s3,s4,s6,s8,s9,s10,s11,s12,s13,s15,s17,s20,s21,RUL,is_noise,max_cycle
2,-1.3972141319532485,0.15951137550231495,0.33721386016622634,-1.0623538783768294,-1.0297854284741859,-0.7421667850162101,-0.7096826948651422,-0.1579587333207037,-0.9194237554234586,-0.4529136712439519,-0.5935379916303798,-1.3199760511147105,-0.022433175138095323,0.3385584064137106,-0.2732548672499588,125,0,253
2,-1.384559235598637,-0.9728250594200442,-1.3110883375229068,-0.6578033953835261,-1.0297854284741859,-0.21397928438144226,-0.5466641799313031,-0.1579587333207037,-1.389433954677806,-0.2132795892359598,0.0866128338621706,0.0024401723617171523,-0.7510782942468467,-0.11509071459220228,0.7654145391856627,125,0,253
2,-1.3719043392440253,-1.0907767713910115,-0.40433857621061375,-1.3637027075453356,-1.6403767674252732,-0.4403453560830375,-0.6167894628915808,-0.1579587333207037,-0.16740743661644222,-0.23039630937936928,-0.5179656776852357,-0.8002811145824571,-0.022433175138095323,-0.2852091349694297,-0.048446968322782835,125,0,253
2,-1.359249442889414,-0.5717892387182189,-1.2119699425616517,-1.3609506634433428,-1.0297854284741859,-0.7421667850162101,-0.5712535648653447,-0.1579587333207037,-0.8254217155725689,-0.7039589000141521,-0.5935379916303798,-0.5684922931243875,-2.2083685324643496,-0.7388582559753426,-0.16132519605414852,125,0,253
2,-1.3465945465348024,-0.35947615717047765,-0.39516094704754234,-0.7830214020242977,-1.0297854284741859,-0.7421667850162101,-0.9838088009831035,-0.1579587333207037,-2.2354523133356787,-0.4186802309570681,-0.6691103055720873,-0.9027561724902028,-0.7510782942468467,1.4159750688027637,0.2541425665201068,125,0,253
2,-1.3339396501801908,-0.31229547238209077,-0.48877276451095447,-0.8724628353391615,-1.0297854284741859,-0.21397928438144226,-0.16234120058976428,-0.1579587333207037,-1.248430894901522,-0.28745204319079903,-0.5935379916303798,0.10735511260063785,-0.022433175138095323,0.8489136675453928,0.939948941728266,125,0,253
2,-1.3212847538255792,1.0323540440882777,-1.2486804592139793,-1.1118906722127644,-1.0297854284741859,-0.6667114277812013,-1.5402574748637619,-0.1579587333207037,-1.0604268151997427,-0.4529136712439519,-0.4423933637435282,-0.060996768247835585,-0.7510782942468467,0.39526454653943965,-0.023784498398274272,125,0,253
2,-1.3086298574709676,0.2774630874732823,0.711661130019875,-0.6564273733325295,-1.0297854284741859,-0.2894346416164511,-0.5402891542076566,-0.1579587333207037,-1.765442114081331,-0.3502133503833653,-0.6691103055720873,-0.5123749995082297,-1.479723413355598,0.28185226628798155,0.2825992625868371,125,0,253
2,-1.2959749611163562,-0.35947615717047765,-1.6598382457199554,-0.7912775343303078,-1.6403767674252732,-0.36488999884802864,-0.822611721970188,-0.1579587333207037,0.11459868293619307,-0.584141859010156,-0.29124873585667665,-0.6319292337339836,-0.022433175138095323,-0.2852091349694297,0.6952213555543924,125,0,253
2,-1.2833200647617446,-1.0907767713910115,0.19404284522218668,-0.11840275139241317,-1.0297854284741859,-0.8176221422477877,-0.18510914960288236,-0.1579587333207037,-1.389433954677806,-0.1676350021868679,-0.29124873585667665,0.10491523026950621,0.706211943970656,0.7355013872938945,0.4030659426026462,125,0,253
2,-1.270665168407133,-0.8076926626604217,-0.8356871468753888,-2.2883895258158016,-1.0297854284741859,-0.5912560705496238,-1.0858092125619452,-0.1579587333207037,-1.0604268151997427,-0.2931576165719355,-0.29124873585667665,-0.2488677077454055,-1.479723413355598,0.1684399860364832,-0.4686575135748153,125,0,253
2,-1.2580102720525215,-0.6897409506894544,-0.0207136771938937,-1.3169179578114247,-1.6403767674252732,-0.36488999884802864,-1.0357197247329861,-0.1579587333207037,-0.8254217155725689,-0.4186802309570681,-0.5935379916303798,-0.5880113517734841,-0.7510782942468467,0.3385584064137106,0.5870859105008376,125,0,253
2,-1.2453553756979099,-0.6425602659010674,0.15916785440247347,-0.605514557445598,-1.0297854284741859,-0.515800713314615,-0.2998596126290172,-0.1579587333207037,-1.9064451738576487,-0.5327916985799276,-0.5935379916303798,-0.39770052994478244,-0.7510782942468467,-0.2852091349694297,-0.5625646105950387,125,0,253
2,-1.2327004793432983,-0.5010182115356384,-0.751252958575048,-1.6526673382548738,-1.0297854284741859,-0.21397928438144226,-1.3371673696667885,-0.1579587333207037,-0.8254217155725689,-0.5156749784364533,-0.4423933637435282,0.6538887547753828,-0.7510782942468467,0.1684399860364832,0.49887015269398044,125,0,253
